id,raw_sentence,processed_sentence
17,"In Baghdad Kadhim Talal Husain , assistant dean at the School of Education at Mustansiriyah University , was assassinated with his driver in the Salikh district .",baghdad kadhim talal husain assistant dean school education mustansiriyah university assassinate driver salikh district
18,"Guerrillas killed an engineer , Asi Ali , from Tikrit .",guerrilla kill engineer asi ali tikrit
19,"They also killed Shaikh Hamid 'Akkab , a clan elder of a branch of the Dulaim tribe in Tikrit .",also kill shaikh hamid 'akkab clan elder branch dulaim tribe tikrit
20,His mother was also killed in the attack .,mother also kill attack
21,Two other Dulaim leaders have been killed in the past week and a half .,two dulaim leader kill past week half
22,"Guerrillas near Hawijah launched an attack that left 6 dead , including 4 Iraqi soldiers .",guerrilla near hawijah launch attack leave dead include iraqi soldier
23,One of them was from the Jubur tribe and was deputy commander of the Hawijah garrison .,one jubur tribe deputy commander hawijah garrison
24,"Two hundred members of the Batawi clan of the Dulaim demonstrated in Baghdad on Friday , protesting the killing of their clan elder , Shaikh Kadhim Sarhid and 4 of his sons , by gunmen wearing Iraqi army uniforms .",two hundred member batawi clan dulaim demonstrate baghdad friday protest killing clan elder shaikh kadhim sarhid son gunman wear iraqi army uniform
25,"( This is a largely Sunni Arab clan , and some Sunni observers have accused Shiite elements in the government of being behind the assassination ; it is more likely the work of Sunni Arab guerrillas punishing the Batawi leaders for cooperating with the Dec. 15 elections . )",largely sunni arab clan sunni observer accuse shiite element government behind assassination likely work sunni arab guerrilla punish batawi leader cooperate december election
26,Al - Zaman : The Iraqi High Electoral Commission on Friday denied a request of the Debaathification Commission to exclude 51 individuals from running on party lists in the Dec. 15 elections on grounds of having been sufficiently involved in Baath activities to warrant their being excluded from civil office .,al zaman iraqi high electoral commission friday deny request debaathification commission exclude individual run party list december election grounds sufficiently involved baath activity warrant exclude civil office
27,The Commission said it had no legal grounds for such an exclusion .,commission say legal grounds exclusion
28,This item is a small one and easily missed .,item small one easily miss
29,But in my view it is highly significant .,view highly significant
30,"The Debaathification Commission had been pushed by Ahmad Chalabi and his Iraqi National Congress very hard , and had pushed many Sunni Arabs into the arms of the guerrillas .",debaathification commission push ahmad chalabi iraqi national congress hard push many sunni arab arm guerrilla
31,"Chalabi has been increasingly marginalized within Iraq , however , despite his ties of clientelage with Washington and Tehran .",chalabi increasingly marginalize within iraq however despite tie clientelage washington tehran
32,"He is no longer in the dominant Shiite list , the United Iraqi Alliance , and wo n't have many seats in the new parliament .",long dominant shiite list united iraqi alliance many seat new parliament
33,"Some 2,000 junior officers of the old Baath army have been recalled to duty in recent months , something Chalabi would have blocked if he could have .",junior officer old baath army recall duty recent month something chalabi would block could
34,Now the Electoral Commission is refusing to punish people for mere past Baath Party membership .,electoral commission refuse punish people mere past baath party membership
35,The situation in Iraq is only going to get better this way .,situation iraq go get good way
36,"If someone committed a crime against humanity , prosecute the person .",someone commit crime humanity prosecute person
37,"If he or she did not , then they should have all the same rights as other Iraqis .",right iraqi
38,Al - Sharq al - Awsat reports that a key eyewitness in the trial of Saddam Hussein for a 1982 massacre at Dujail has died .,al sharq al awsat report key eyewitness trial saddam hussein massacre dujail die
39,A team from the court managed to take his deposition before he died .,team court manage take deposition die
40,The trial begins again Nov. 28 .,trial begin november
41,"In Baghdad the fighting still continues in several areas , mostly in Sadr city and Adhamiya .",baghdad fighting still continue several area mostly sadr city adhamiya
42,"Baghdadis do n't venture much out of their neighbourhoods any more , you never know where you might get stuck .",baghdadi venture much neighbourhood never know might get stuck
43,There has been talk that the night curfew might be implemented again .,talk night curfew might implement
44,"My neighbourhood has been surrounded by American troops for three days now , helicopters have been circling over our heads non-stop .",neighbourhood surround american troops three day helicopter circle head non-stop
45,Fedayeen are now visible on the street and they have become bolder than ever .,fedayeen visible street become bold ever
46,"Yesterday there were tens of them putting road blocks on our street and setting up mortars , they only come out in the open when Americans leave the area , then they start firing mortars indiscriminately and shooting their AK - 47's in the air .",yesterday ten put road block street set mortar come open american leave area start fire mortar indiscriminately shoot ak air
47,"They are setting the road blocks at the exact same positions they were during the war last year , which indicates they are the same people .",set road block exact position war last year indicate people
48,"And there is nothing we can do about it really , people who are suggesting that we go out and fight them are living in dream land .",nothing really people suggest go fight live dream land
49,"Even the IP and ICDC have abandoned the neighbourhood , and those are trained and armed , so do n't expect scared civilians to do anything except to hide inside and pray a helicopter or a tank does n't bomb them , and also how are American soldiers going to distinguish the brave and valiant civilians from the Fedayeen ?",even ip icdc abandon neighbourhood trained armed expect scared civilian anything except hide inside pray helicopter tank bomb also american soldier go distinguish brave valiant civilian fedayeen
50,"Everyone is apprehensive , there is some talk that April 9th and 10th are going to be bloody days .",everyone apprehensive talk april 9th 10th go bloody day
51,"Most people have n't gone to work the last few days , although it seems that the rest of Baghdad is ' normal ' ( if you can define what normal is ) .",people go work last day although seem rest baghdad normal define normal
52,"There are rumours about preparations by slum dwellers for another looting spree against banks , governmental and public property similar to the one that took place last April , and I have already overheard youngsters in my neighbourhood joking about it and saying things like "" This time we will be the first to loot , we did n't get anything the last time "" .",rumour preparation slum dweller another looting spree bank governmental public property similar one take place last april already overhear youngster neighbourhood joke say thing like time first loot get anything last time
53,"Mosques are calling for donating blood , food , and medicine for Fallujah , and several convoys have already headed out for Fallujah , most of them returned later though .",mosque call donate blood food medicine fallujah several convoy already head fallujah return late though
54,"What irritates me is this sudden false ' solidarity ' between Sunni and Shi'ite clerics , we all know that they would be glad to get at each other s throats when they have the chance , and Shia clerics were describing Fallujan insurgents as ' Ba'athists ' , ' Saddamites ' , ' Wahhabis ' , and ' terrorists ' just a few days ago .",irritate sudden false solidarity sunni shi'ite cleric know would glad get 's throat chance shia cleric describe fallujan insurgents ba'athist saddamite wahhabi terrorist day ago
55,So what happened ?,happen
56,"I guess it 's just the old new Arab ' Me against my brother , me and my brother against my cousin , me and my cousin against my enemy ' , or ' The enemy of my enemy is my friend ' thing going on again .",guess old new arab brother brother cousin cousin enemy enemy enemy friend thing go
57,"Speaking of Fallujah , we have only Al - Jazeera to rely on for our news from there .",speak fallujah al jazeera rely news
58,"They have sent over their top reporter Ahmed Mansour to the town , and he is spouting all kinds of propaganda hourly reminding me of Al - Sahhaf .",send top reporter ahmed mansour town spout kind propaganda hourly remind al sahhaf
59,""" They are targetting ambulances "" , "" American snipers are shooting children and pregnant women "" , and "" They are using cluster bombs against civilians "" is all you get to hear from him .",target ambulance american sniper shoot child pregnant woman use cluster bomb civilian get hear
60,"He did once make an unforgivable error when he mentioned that Fallujan militants were shooting at the Marines from the roofs of mosques and houses in Hay Al - Golan , but of course that is okay for Al - Jazeera .",make unforgivable error mention fallujan militant shoot marine roof mosque house hay al golan course okay al jazeera
61,Someone who called himself Abu Hafs from the Ibn Al - Khattab Brigades ( another new group ) was on Al - Jazeera describing the enormous casualties among the Marines and he sweared that American soldiers were mutilating the bodies of dead insurgents .,someone call abu hafs ibn al khattab brigade another new group al jazeera describe enormous casualty among marine swear american soldier mutilate body dead insurgent
62,Over 300 Iraqis are reported dead and 500 wounded in Fallujah alone .,iraqi report dead wounded fallujah alone
63,Al - Iraqiyah tv said that ICDC were controlling Ramadi .,al iraqiyah tv say icdc control ramadi
64,"Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin , an Al - Qaeda operative in Saudi Arabia on an Islamic website ' the voice of Jihad ' , in which he stated that "" although mutilating dead bodies is not originally permitted in Islam , but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions "" .",azzaman newspaper mention announcement sign abdul aziz bin muqrin al qaeda operative saudi arabia islamic website voice jihad state although mutilate dead body originally permit islam case allow muslim use infidel deter commit criminal action
65,"He added that "" America does not understand anything except the language of force and retaliation , they were kicked out of Somalia in humiliation after that soldier was dragged in Mogadishu for the whole world to see "" , and that "" the day will come when the dead bodies of Americans and Jews would be dragged , defiled , and stepped on in the Arabian peninsula together with their agents and supporters "" .",add america understand anything except language force retaliation kick somalia humiliation soldier drag mogadishu whole world see day come dead body american jew would drag defile step arabian peninsula together agent supporter
66,Elena 's motorcycle tour through the region around Chernobyl has revived interest in one of the most serious nuclear disasters in history .,elena 's motorcycle tour region around chernobyl revive interest one serious nuclear disaster history
67,"We all know what happened , but even to this day , there are many different versions and opinions on how it happened and what effect Chernobyl will have on the health of people affected by the fallout .",know happen even day many different version opinion happen effect chernobyl health people affect fallout
68,UPDATE :,update
69,Now you can tour Chernobyl and write your own story .,tour chernobyl write story
70,This is not a post about fault - finding or assigning blame .,post fault finding assign blame
71,It is a time to learn what happened and how it may affect the future .,time learn happen may affect future
72,There was a soothing authoritative UNSCEAR ( United Nations Scientific Committee on the Effects of Atomic Radiation ) report in 2000 on the health effects of Chernobyl confirming that there was no scientific evidence of any significant radiation - related health effects to most people exposed .,soothing authoritative unscear united nation scientific committee effect atomic radiation report health effect chernobyl confirm scientific evidence significant radiation related health effect people expose
73,This was heavily promoted by the Australasian Radiation Protection Society in a press release titled THE MYTHS OF CHERNOBYL which contained the following :,heavily promote australasian radiation protection society press release title myths chernobyl contain follow
74,"One of the most widespread myths of recent times is that the Chernobyl nuclear reactor accident in 1986 caused many thousands of extra cancer deaths in neighbouring regions , and that public health has been severely affected by exposure to radiation .",one widespread myth recent time chernobyl nuclear reactor accident cause many thousand extra cancer death neighbour region public health severely affect exposure radiation
75,"Many people still believe that to be true , even though the Ministry of Russian Federation on Civil Defence , Emergencies and Elimination of Conseguences of Natural Disasters ( EMERCOM of Russia ) reported this in 1996 :",many people still believe true even though ministry russian federation civil defence emergency elimination conseguence natural disaster emercom russia report
76,CHERNOBYL ACCIDENT : TEN YEARS ON,chernobyl accident ten year
77,"In the last decade , there has been a real and significant increase in childhood and , to a certain extent , adult carcinoma of the thyroid in contaminated regions of the former Soviet Union ( Wi940 ) which should be attributed to the Chernobyl accident until proven otherwise .",last decade real significant increase childhood certain extent adult carcinoma thyroid contaminate region former soviet union wi940 attribute chernobyl accident prove otherwise
78,The prestigious IAEA ( International Atomic Energy Agency ) published an early report on Chernobyl which was based on information from Russian sources and stated that there was no significant health effects .,prestigious iaea international atomic energy agency publish early report chernobyl base information russian source state significant health effect
79,"However , in April 2001 , the IAEA published Fifteen Years after the Chernobyl Accident - Lessons learned . which contradict the earlier reports .",however april iaea publish fifteen year chernobyl accident lesson learn contradict early report
80,Here are some excerpts :,excerpt
81,"The dramatic increase in radiation - induced thyroid cancers in children and adolescents in Belarus , Russia , and Ukraine , which have been observed since 1991 , continues to this day .",dramatic increase radiation induce thyroid cancer child adolescent belarus russia ukraine observe since continue day
82,"... a drop in the birth rate , a deterioration in women 's reproductive health , an increase in complications during pregnancy and birth , and a deterioration in neonatal health ....",drop birth rate deterioration woman 's reproductive health increase complication pregnancy birth deterioration neonatal health
83,"The dynamics of change in the state of health of children affected by the Chernobyl accident in all three countries - Belarus , Russia , and Ukraine - in the post-accident period is characterized by persistent negative tendencies : the morbidity rate is going up , the number of really healthy children is dropping , and disability is increasing .",dynamics change state health child affect chernobyl accident three country belarus russia ukraine post-accident period characterize persistent negative tendency morbidity rate go number really healthy child drop disability increase
84,"As a parent , I can well imagine how painful it must be for those families whose children are succumbing to radiation poisoning .",parent well imagine painful must family whose child succumb radiation poisoning
85,There is a lot to learn about Chernobyl .,lot learn chernobyl
86,Being well - informed will give you certainty and that is desirable in a world of conflicting reports .,well inform give certainty desirable world conflict report
87,There are a wealth of references on Chernobyl .,wealth reference chernobyl
88,Read some of the following links and draw your own conclusions .,read follow link draw conclusion
89,These links present the many viewpoints that existed and still exist about the disaster called Chernobyl :,link present many viewpoint exist still exist disaster call chernobyl
90,IAEA Report Lessons learned,iaea report lesson learn
91,http://www.ibiblio.org/expo/soviet.exhibit/chernobyl.html,http://www.ibiblio.org/expo/soviet.exhibit/chernobyl.html
92,http://www.ibrae.ac.ru/IBRAE/eng/chernobyl/nat_rep/nat_repe.htm#24,http://www.ibrae.ac.ru/ibrae/eng/chernobyl/nat_rep/nat_repe.htm#24
93,http://www.nsrl.ttu.edu/chernobyl/wildlifepreserve.htm,http://www.nsrl.ttu.edu/chernobyl/wildlifepreserve.htm
94,http://www.environmentalchemistry.com/yogi/hazmat/articles/chernobyl1.html,http://www.environmentalchemistry.com/yogi/hazmat/articles/chernobyl1.html
95,http://digon_va.tripod.com/Chernobyl.htm,http://digon_va.tripod.com/chernobyl.htm
96,http://www.oneworld.org/index_oc/issue196/byckau.html,http://www.oneworld.org/index_oc/issue196/byckau.html
97,http://www.collectinghistory.net/chernobyl/,http://www.collectinghistory.net/chernobyl/
98,http://www.ukrainianweb.com/chernobyl_ukraine.htm,http://www.ukrainianweb.com/chernobyl_ukraine.htm
99,http://www.bullatomsci.org/issues/1993/s93/s93Marples.html,http://www.bullatomsci.org/issues/1993/s93/s93marples.html
100,http://www.calguard.ca.gov/ia/Chernobyl-15%20years.htm,http://www.calguard.ca.gov/ia/chernobyl-15%20years.htm
101,http://www.infoukes.com/history/chornobyl/gregorovich/index.html,http://www.infoukes.com/history/chornobyl/gregorovich/index.html
102,http://www.un.org/ha/chernobyl/,http://www.un.org/ha/chernobyl/
103,http://www.tecsoc.org/pubs/history/2002/apr26.htm,http://www.tecsoc.org/pubs/history/2002/apr26.htm
104,http://www.chernobyl.org.uk/page2.htm,http://www.chernobyl.org.uk/page2.htm
105,http://www.time.com/time/daily/chernobyl/860901.accident.html,http://www.time.com/time/daily/chernobyl/860901.accident.html
106,http://www.infoukes.com/history/chornobyl/elg/,http://www.infoukes.com/history/chornobyl/elg/
107,http://www.world-nuclear.org/info/chernobyl/inf07.htm,http://www.world-nuclear.org/info/chernobyl/inf07.htm
108,http://www.nea.fr/html/rp/chernobyl/conclusions5.html,http://www.nea.fr/html/rp/chernobyl/conclusions5.html
109,http://www.nea.fr/html/rp/chernobyl/c01.html,http://www.nea.fr/html/rp/chernobyl/c01.html
110,http://www.nea.fr/html/rp/chernobyl/c05.html,http://www.nea.fr/html/rp/chernobyl/c05.html
111,http://www.physics.isu.edu/radinf/chern.htm,http://www.physics.isu.edu/radinf/chern.htm
112,http://www.chernobyl.info/en,http://www.chernobyl.info/en
113,http://www.arps.org.au/Chernobyl.htm,http://www.arps.org.au/chernobyl.htm
114,http://www-formal.stanford.edu/jmc/progress/chernobyl.html,http://www-formal.stanford.edu/jmc/progress/chernobyl.html
115,http://www.21stcenturysciencetech.com/articles/chernobyl.html,http://www.21stcenturysciencetech.com/articles/chernobyl.html
116,I would be interested in hearing what conclusions you reached and what you found that was most convincing .,would interested hear conclusion reach find convincing
117,radiation :,radiation
118,As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy ( primitive at best ! ) and stopped when a lesion on my neck started enlarging -- they said it was not CA but stopped the treatments ....,child 50s lot glandular problem treat radiation therapy primitive good stop lesion neck start enlarge say ca stop treatment
119,Remember the old shoe sizing machines that was a form of radiation xray ?,remember old shoe size machine form radiation xray
120,That too was stopped .,stop
121,Do n't have to mention what radiation has done and is still doing to Hirsohima & Nagaski folks -- there can be no doubts about the effects of radiation in Chernobyl .......,mention radiation still hiroshima nagasaki folk doubt effect radiation chernobyl
122,The Chernobyl Children 's Project ( http://www.adiccp.org/home/default.asp ) offers several ways to help the children of that region .,chernobyl children 's project http://www.adiccp.org/home/default.asp offer several way help child region
123,"One of them is the Rest and Recuperation Program , wherein a child can come to the US for a few weeks in the summer .",one rest recuperation program wherein child come us week summer
124,"Even a little time spent receiving wholesome , uncontaminated food , good medical care , etc. can add years to their lives .",even little time spend receive wholesome uncontaminated food good medical care etc. add year life
125,S. and I have an acquaintance who has hosted several of these children for many years ; to see these little ones breaks the heart .,s. acquaintance host several child many year see little one break heart
126,"The urge to protect and gather them all in is almost overwhelming , and makes me more grateful for the blessings I have .",urge protect gather almost overwhelming make grateful blessing
127,"Take care , my friend , Linda",take care friend linda
128,I 'm sorry to say Elena 's story has been revealed to be a fake .,sorry say elena 's story reveal fake
129,What do the new al - Qaeda videotape and audio speeches of Bin Laden and Ayman al - Zawahiri tell us about the hopes of the remaining top leadership of the organization ?,new al qaeda videotape audio speech bin laden ayman al zawahiri tell hope remaining top leadership organization
130,"Because the US and Pakistan have managed to capture or kill about 2 / 3s of the top 25 al - Qaeda commanders , the middle managers are not in close contact with al - Zawahiri and Bin Laden .",us pakistan manage capture kill top al qaeda commander middle manager close contact al zawahiri bin laden
131,The tape was a way to signal priorities .,tape way signal priority
132,"These are 1 ) Assassinate or overthrow Gen. Pervez Musharraf , the Pakistani military "" president "" who had made a coup in 1999 and has thrown in his lot with the United States against the Taliban and al - Qaeda .",assassinate overthrow gen. pervez musharraf pakistani military president make coup throw lot united state taliban al qaeda
133,Musharraf has been trying to purge his officer corps of the substantial number of al - Qaeda sympathizers .,musharraf try purge officer corps substantial number al qaeda sympathizer
134,"His military intelligence has captured major figures like Abu Zubayda and Khalid Shaykh Muhammad , as well as nearly 500 other al - Qaeda operatives , over 400 of whom the Pakistanis have turned over to the US .",military intelligence capture major figure like abu zubayda khalid shaykh muhammad well nearly al qaeda operative pakistani turn us
135,"Musharraf held elections in October of 2002 , in which center - right parties did well , but in which nearly 20 percent of parliament seats went to the fundamentalist religious party coalition , MMA .",musharraf hold election october center right party well nearly percent parliament seat go fundamentalist religious party coalition mma
136,"MMA also captured the Northwest Frontier Province , which probably shelters Bin Laden and al - Zawahiri , and is in a joint government of Baluchistan Province , also on the Afghanistan border .",mma also capture northwest frontier province probably shelter bin laden al zawahiri joint government baluchistan province also afghanistan border
137,"If al - Qaeda can kill Musharraf or instigate a military coup against him by Islamist junior officers , they can hope to catapult the MMA to power as political allies and hosts .",al qaeda kill musharraf instigate military coup islamist junior officer hope catapult mma power political ally host
138,"They would thereby gain control of a major base for terrorist operations , which is also a nuclear power .",would thereby gain control major base terrorist operation also nuclear power
139,"All this is highly unlikely , as with most al - Qaeda crackpot schemes .",highly unlikely al qaeda crackpot scheme
140,But so was it unlikely that a small group of Arab mujahidin would virtually take over Afghanistan .,unlikely small group arab mujahidin would virtually take afghanistan
141,Response : The US must do whatever it can to strengthen the legitimacy of the Pakistani government .,response us must whatever strengthen legitimacy pakistani government
142,"On the one hand , it should pressure Musharraf to take off his uniform and run for president in a fair election , and to repeal the contentious "" Legal Framework Order "" that essentially perpetuates his dictatorship .",one hand pressure musharraf take uniform run president fair election repeal contentious legal framework order essentially perpetuate dictatorship
143,"On the other , restrictions should be lifted on the mainstream Muslim League - N and Pakistan People 's Party , who can defeat the MMA in fair elections if not hogtied by the secret police .",restriction lift mainstream muslim league n pakistan people 's party defeat mma fair election hogtie secret police
144,"On the other hand , the US should strong - arm India and Pakistan into a final settlement of the Kashmir issue .",hand us strong arm india pakistan final settlement kashmir issue
145,Al - Zawahiri attempted to use Musharraf 's lack of progress in helping the Muslims of that Indian state as a justification for his overthrow .,al zawahiri attempt use musharraf 's lack progress help muslim indian state justification overthrow
146,"The Kashmir issue generates far more terrorism , and even the threat of nuclear war , than Iraq ever did .",kashmir issue generate far terrorism even threat nuclear war iraq ever
147,2 ) Target Israel and encourage the worst elements of the Palestinians by playing on the iron fist policies of the Sharon government .,target israel encourage bad element palestinian play iron fist policy sharon government
148,"Response : The US has succeeded in politically isolating Hamas , and started the process of cutting off its funding .",response us succeed politically isolate hamas start process cut funding
149,This terrorist organization can now only pull off far less sophisticated bombings and attacks .,terrorist organization pull far less sophisticated bombing attack
150,It should continue to be defanged .,continue defang
151,"But Sharon 's iron fist is simply not working as a means of establishing general peace , and the Bush administration will have to finally apply effective pressure on Sharon to stop his outrages in and colonization of the West Bank and Gaza .",sharon 's iron fist simply work means establish general peace bush administration finally apply effective pressure sharon stop outrage colonization west bank gaza
152,"Sharon 's hard line has worked in tandem with Hamas 's terrorism to ratchet up tensions further and further , which spill over into the Muslim world and serve as a recruiting tool for al - Qaeda in its search for agents willing to hit the United States .",sharon 's hard line work tandem hamas 's terrorism ratchet tension far far spill muslim world serve recruiting tool al qaeda search agent willing hit united state
153,"Israel owes the United States at least this much , in this crisis , to cease militarily unnecessary provocations and establish genuine peace .",israel owe united state least much crisis cease militarily unnecessary provocation establish genuine peace
154,"3 ) Make Iraq another Afghanistan , using the Republican Right 's own tactics against them .",make iraq another afghanistan use republican right 's tactic
155,"Response : Iraq is actually hostile territory for al - Qaeda , and without Iraqi sympathizers it can not succeed there .",response iraq actually hostile territory al qaeda without iraqi sympathizer succeed
156,"By moving quickly to Iraqi sovereignty and improvement of Iraqi lives , the US may be able to get Iraqis on its side , so that they turn in the foreigners .",move quickly iraqi sovereignty improvement iraqi life us may able get iraqi side turn foreigner
157,"Certainly , the Shiites already hate al - Qaeda and would help ; likewise the Kurds .",certainly shiite already hate al qaeda would help likewise kurd
158,"The problem of mollifying the Sunnis , though , has to be solved to avoid giving al - Qaeda an entrée .",problem mollify sunni though solve avoid give al qaeda entrée
159,The Americans have to put away their free - market fetishism for a while and find ways of creating jobs and pumping money into Iraqi households .,american put away free market fetishism find way create job pump money iraqi household
160,"We need an FDR in Iraq , not a Ronald Reagan .",need fdr iraq ronald reagan
161,"Of course , the sooner the US soldiers can be withdrawn in favor of less - provocative local or international forces , the better .",course soon us soldier withdraw favor less provocative local international force good
162,Getting the Spanish out of Iraq is n't nearly as good a rallying cry for al - Qaeda in the Arab world as getting the Americans and British out .,get spanish iraq nearly good rallying cry al qaeda arab world get american british
163,"The thing to keep in mind is that Sunni Arab nationalists and Baathists and local Sunni radicals are likely to remain far more dangerous to the US in Iraq than al - Qaeda infiltrators , and it would be dangerous to take one 's eyes off the former ball .",thing keep mind sunni arab nationalist baathist local sunni radical likely remain far dangerous us iraq al qaeda infiltrator would dangerous take one 's eye former ball
164,George W. Bush alleged Thursday that John Edwards lacks the experience necessary to be president .,george w. bush allege thursday john edwards lack experience necessary president
165,"The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just hoists him by his own petard .",problem argument bush lack experience necessary president run sort cheap shot hoist petard
166,Let 's just remember a seminal Bush moment in 1999 :,let remember seminal bush moment
167,' Bush fails reporter 's pop quiz on international leaders,bush fail reporter 's pop quiz international leader
168,"November 5 , 1999",november
169,Web posted at : 3:29 p.m. EST ( 2029 GMT ),web post 3:29 p.m. est gmt
170,WASHINGTON ( CNN ) --,washington cnn
171,"Texas Gov. George W. Bush is enduring sharp criticism for being unable to name the leaders of four current world hot spots , but President Bill Clinton says Bush "" should , and probably will , pick up "" those names .",texas gov. george w. bush endure sharp criticism unable name leader four current world hot spot president bill clinton say bush probably pick name
172,"The front - runner for the 2000 Republican presidential nomination faltered Thursday in an international affairs pop quiz posed by Andy Hiller , a political reporter for WHDH - TV in Boston .",front runner republican presidential nomination falter thursday international affair pop quiz pose andy hiller political reporter whdh tv boston
173,Bush,bush
174,"Hiller asked Bush to name the leaders of Chechnya , Taiwan , India and Pakistan .",hiller ask bush name leader chechnya taiwan india pakistan
175,"Bush was only able to give a partial response to the query on the leader of Taiwan , referring to Taiwanese President Lee Teng - hui simply as "" Lee . """,bush able give partial response query leader taiwan refer taiwanese president lee teng hui simply lee
176,He could not name the others .,could name
177,""" Can you name the general who is in charge of Pakistan ? """,name general charge pakistan
178,"Hiller asked , inquiring about Gen. Pervaiz Musharraf , who seized control of the country October 12 .",hiller ask inquire gen. pervaiz musharraf seize control country october
179,""" Wait , wait , is this 50 questions ? "" asked Bush .",wait wait question ask bush
180,"Hiller replied : "" No , it 's four questions of four leaders in four hot spots . "" . . .",hiller reply four question four leader four hot spot
181,"Bush , in answering the question about the leader of Pakistan , also said : "" The new Pakistani general , he 's just been elected -- not elected , this guy took over office .",bush answer question leader pakistan also say new pakistani general elect elect guy take office
182,"It appears this guy is going to bring stability to the country and I think that 's good news for the subcontinent . """,appear guy go bring stability country think good news subcontinent
183,Gore released a statement Friday taking Bush to task for his comments on Pakistan 's recent coup .,gore release statement friday take bush task comment pakistan 's recent coup
184,""" I find it troubling that a candidate for president in our country -- the world 's oldest democracy -- would characterize the military takeover as "" good news , "" Gore said .",find troubling candidate president country world 's old democracy would characterize military takeover good news gore say
185,""" Further , I find it even more disturbing that he made these comments about a nation that just last year tested nuclear weapons -- shortly after voicing his public opposition to the Comprehensive Test Ban Treaty .",find even disturbing make comment nation last year test nuclear weapon shortly voice public opposition comprehensive test ban treaty
186,A spokesman for President Clinton also criticized Bush 's comments .,spokesman president clinton also criticize bush 's comment
187,""" It is very dangerous for this country to condone the overthrow of democratically elected governments , "" said David Leavy , spokesman for the National Security Council .",dangerous country condone overthrow democratically elect government say david leavy spokesman national security council
188,"Not only did Bush not know who General Pervez Musharraf was , he seems to have confused coup - making with "" taking office , "" and moreover went on to suggest that the overthrow of an elected prime minister and the installation in power of the Pakistan military , then the world 's strongest supporter of the Taliban , would bring "" stability ! """,bush know general pervez musharraf seem confuse coup making take office moreover go suggest overthrow elect prime minister installation power pakistan military world 's strong supporter taliban would bring stability
189,"Musharraf made his coup in part because of the military 's anger over Prime Minister Nawaz Sharif 's willingness to back down from confronting India over Kashmir , so that he explicitly came to power as a warmonger .",musharraf make coup part military 's anger prime minister nawaz sharif 's willingness back confront india kashmir explicitly come power warmonger
190,I ca n't tell you how ominous I found Bush 's performance in that interview .,tell ominous find bush 's performance interview
191,"I still remember him stuttering about "" the General , "" unable to remember Musharraf 's name .",still remember stutter general unable remember musharraf 's name
192,"He obviously had no idea what he was talking about , though he demonstrated a number of ill - fated instincts .",obviously idea talk though demonstrate number ill fated instinct
193,"He obviously liked authoritarian rule better than democracy , equating dictatorship with "" stability . """,obviously like authoritarian rule well democracy equate dictatorship stability
